venue_id,name,brand,description,color,is_available
1,ADMIRAL ACBAR CEREAL,DarkSide,Сливочная сладкая овсяная каша с ягодами,#6A1B9A,FALSE
1,APPLECOT,DarkSide,Сочное кислое зелёное яблоко,#8BC34A,FALSE
1,ASTRO TEA,DarkSide,"Чай с лимоном, мягкий цитрусовый чайный вкус",#8D6E63,FALSE
1,BANANAPAPA,DarkSide,Натуральный сладкий спелый банан,#FFE082,FALSE
1,BARBERRY GUM,DarkSide,"Барбарисовая жвачка, сладко-кислые конфетки барбарис",#C62828,FALSE
1,BARVY CITRUS,DarkSide,"Яркий цитрусовый микс (лимон, апельсин, грейпфрут)",#FFE066,FALSE
1,BARVY ORANGE,DarkSide,Сладкий сочный апельсин,#FFA500,FALSE
1,BASIL BLAST,DarkSide,Свежий зелёный базилик с лёгкой сладостью,#2E7D32,FALSE
1,BASSBERRY,DarkSide,Ягоды бузины: сладко-кислый ягодный вкус с цветочными нотками,#C2185B,FALSE
1,BERGAMONSTR,DarkSide,"Насыщенный бергамот, чайный цитрусовый аромат",#8D6E63,FALSE
1,BLACKBERRY,DarkSide,Спелая сладкая ежевика,#4A235A,FALSE
1,BLACKCURRANT,DarkSide,"Чёрная смородина, насыщенный ягодный вкус",#2E1A47,FALSE
1,BLUEBERRY BLAST,DarkSide,Яркая сладкая черника,#3F51B5,FALSE
1,BOUNTY HUNTER,DarkSide,Холодный кокос в стиле батончика «Баунти» (кокос + сливочность + лёгкий холодок),#6A1B9A,FALSE
1,BREAKING RED,DarkSide,Сладко-кислый спелый гранат с лёгкой терпкостью,#C62828,FALSE
1,C.R.E.A.M. S.O.D.A.,DarkSide,"Крем-сода: сладкая ванильная сливочная газировка, лёгкий освежающий лимонадный оттенок",#F5E6CC,FALSE
1,CHERRY ROCKS,DarkSide,"Яркие вишнёвые леденцы, насыщенная кисло-сладкая вишня",#8B1E3F,FALSE
1,CINNAMOON,DarkSide,"Тёплая булочка с корицей, мягкая сладкая корица без «ядерности»",#E0B589,FALSE
1,CODE CHERRY,DarkSide,"Сочный вишнёвый сок / вишнёвый компот, «чистая» вишня",#8B1E3F,FALSE
1,COSMO FLOWER,DarkSide,Цветочный аромат с ягодными нотами (цветы + лёгкая черника),#C2185B,FALSE
1,COSMOS,DarkSide,"Коктейль «Космополитен»: клюква, цитрус, лёгкая сладость алкогольного коктейля",#B71C1C,FALSE
1,CRYSTAL GRAPE,DarkSide,Сладкий слегка освежающий белый виноград,#7E57C2,FALSE
1,CUCUMSTAR,DarkSide,"Огурец / огуречный лимонад, свежий огуречный вкус",#FFE066,FALSE
1,CYBER KIWI,DarkSide,"Кисло-сладкое спелое киви, сочный фруктовый вкус",#66BB6A,FALSE
1,DARK ICECREAM,DarkSide,"Шоколадное мороженое, сливочный десерт с какао",#4E342E,FALSE
1,DARK MINT,DarkSide,Плотная тростниковая мята: мощный мятный/ментоловый холод,#4DD0E1,FALSE
1,DARK PASSION,DarkSide,Кисло-сладкая маракуйя с лёгкой терпкостью,#FF9800,FALSE
1,DARK SPIRIT,DarkSide,"Коктейль «Маргарита»: цитрус, лайм, лёгкая алкогольная нота",#C7F000,FALSE
1,DARKSIDE COLA,DarkSide,"Кола, газированный коловый напиток с карамелью и цитрусом",#3E2723,FALSE
1,DARKSIDE COOKIE,DarkSide,"Шоколадное печенье с бананом, сладкий десертный вкус",#4E342E,FALSE
1,DARKSUPRA,DarkSide,Жасминовый чай: цветочный зелёный чай с жасмином,#8D6E63,FALSE
1,DEEP BLUE SEA,DarkSide,"Лимонад «Байкал» с десертно-кокосовыми нотами, напоминает кокосовое печенье с травянистостью",#FFE066,FALSE
1,DESERT EAGLE,DarkSide,Сладкий кактус: сочная мякоть опунции с лёгким терпким послевкусием,#8BC34A,FALSE
1,ECLIPSE,DarkSide,"Цитрусовые леденцы с мёдом, медово-цитрусовый конфетный вкус",#FFCA28,FALSE
1,EXTRAGON,DarkSide,Тархун: сладкая эстрагоновая газировка,#66BB6A,FALSE
1,FALLING STAR,DarkSide,"Манго + маракуйя, яркий тропический дуэт",#FFC107,FALSE
1,FRUITTALLITY,DarkSide,Сладкие жевательные конфеты с соком лесных ягод,#C2185B,FALSE
1,FRUITY DUST,DarkSide,"Экзотический фруктовый микс, тропические фрукты",#FFC107,FALSE
1,GENERIS RASPBERRY,DarkSide,"Сочная малина, натуральный малиновый вкус",#E53935,FALSE
1,GLITCH ICE TEA,DarkSide,Холодный персиковый чай (ледяной чай с персиком),#FFCC80,FALSE
1,GOAL,DarkSide,Черничный энергетик: сладкая черника в энергетическом напитке с лёгкой свежестью,#3F51B5,FALSE
1,GONZO CAKE,DarkSide,"Чизкейк: сливочный сыр, ванильный десерт с бисквитной основой",#6A1B9A,FALSE
1,GRAPE CORE,DarkSide,Классический виноградный вкус (тёмный виноград),#7E57C2,FALSE
1,GREEN BEAM,DarkSide,Фейхоа: сладко-кислый фейхоа с травянистым оттенком,#4CAF50,FALSE
1,GREEN MIST,DarkSide,"Цитрусовый алкогольный коктейль в стиле кайпириньи: лайм, кашаса, лёгкий лёд",#C7F000,FALSE
1,GUAVA REBEL,DarkSide,Сочная мякоть гуавы с лёгкой травянистостью и терпкостью,#43A047,FALSE
1,HONEY DUST,DarkSide,"Натуральный цветочный мёд, сладкий мёд с лёгкой терпкой нотой",#FFCA28,FALSE
1,ICE GRANNY,DarkSide,Ледяное зелёное яблоко: кислое яблоко с холодком,#8BC34A,FALSE
1,KALEE GRAPEFRUIT 2.0,DarkSide,Яркий сочный грейпфрут с лёгкой горечью цедры,#FF6F61,FALSE
1,KASHMIR GOA JAVA,DarkSide,Кисло-сладкая гуаява с выраженными индийскими специями и лёгким алкогольным оттенком коктейля,#8BC34A,FALSE
1,KILLER MILK,DarkSide,"Насыщенная сладкая сгущёнка, сливочно-карамельное сгущённое молоко",#6A1B9A,FALSE
1,LEMONBLAST,DarkSide,"Сочный кисло-сладкий лимон, лимонадный цитрус",#FFE066,FALSE
1,MANGO LASSI,DarkSide,Спелый манго в сливочном йогуртовом коктейле (манго-ласси),#FFC107,FALSE
1,MANGO LASSI 2.0,DarkSide,Обновлённый манго-ласси: более яркий манго с мягкой сливочностью,#FFC107,FALSE
1,NEEDLS,DarkSide,Сосновые иголки / еловый лес: смолистый хвойный вкус,#8BC34A,FALSE
1,NØRDBERRY,DarkSide,"Охлаждённый кисло-сладкий клюквенный морс, клюква с лёгким льдом",#B71C1C,FALSE
1,NUTZ,DarkSide,"Ореховый десерт, сладкий орех (арахис/фундучный крем)",#8BC34A,FALSE
1,PEAR,DarkSide,Сочная сладкая груша,#C9E265,FALSE
1,PINEAPPLE PULSE,DarkSide,"Яркий натуральный ананас, сладкая мякоть ананаса с лёгкой кислинкой",#FFD54F,FALSE
1,POLAR CREAM,DarkSide,Фисташковое мороженое: сливочно-ореховый холодный десерт,#FFF8E1,FALSE
1,POMELOW,DarkSide,Сладкое помело с характерной лёгкой терпкостью,#FFE082,FALSE
1,RAF IN THE JUNGLE,DarkSide,Кофе RAF: мягкий сливочно-шоколадный кофейный раф с апельсиновой цедрой,#5D4037,FALSE
1,RED ALERT,DarkSide,Арбуз+дыня: арбузный фреш с мякотью медовой дыни в безалкогольном коктейле,#66BB6A,FALSE
1,RED RUSH,DarkSide,Барбарисовые леденцы: сладкие конфетки-барбариски с лёгкой кислинкой,#C62828,FALSE
1,RED TEA,DarkSide,"Красный чай / каркаде, терпко-кислый чайный вкус",#8D6E63,FALSE
1,RED ZEPPELIN,DarkSide,"Ягодно-фруктовый красный лимонад (красные ягоды с цитрусом), освежающий микс",#C2185B,FALSE
1,REDBERRY,DarkSide,Красная смородина: яркий кисло-сладкий смородиновый вкус,#2E1A47,FALSE
1,RIVERS OF BLOOD,DarkSide,"Коктейль «Кровавая Мэри»: томатный сок, специи, сельдерей, острый пряный томатный микс",#8BC34A,FALSE
1,SALBEI,DarkSide,Шалфей: травяной шалфейный вкус с лёгкой горчинкой,#8BC34A,FALSE
1,SAMBUKA SHOT,DarkSide,"Самбука: сладкий анисовый ликёр, анис/лакрица",#8BC34A,FALSE
1,SKYLIME,DarkSide,"Яркий лайм: свежий кисло-сладкий лайм, цитрусовый микс для освежения",#C7F000,FALSE
1,SPACE DESSERT,DarkSide,"Тирамису: кофе, маскарпоне, немного алкоголя, сливочный десерт",#5D4037,FALSE
1,SPACE JAM,DarkSide,Клубничный джем: сладкая клубника в сиропе/варенье,#FF4F79,FALSE
1,SPACE LYCHEE,DarkSide,"Нежная мякоть личи / «китайской сливы»: тропический фрукт с нотами ананаса, винограда и клубники, лёгкая пряность",#F8BBD0,FALSE
1,SPICY PEAR,DarkSide,Груша со специями: сладкая груша с тёплой пряной ноткой,#C9E265,FALSE
1,STARLIME,DarkSide,"Лаймовый цитрусовый микс: яркий лайм с лёгкой сладостью, освежающий вкус",#C7F000,FALSE
1,STRAWBERRY LIGHT,DarkSide,"Сладкая клубника, классический ягодный вкус без тяжёлой десертности",#FF4F79,FALSE
1,SUPERMINT,DarkSide,"Очень мощный ментоловый холод, смесь мяты/ментола с максимальной свежестью",#81D4FA,FALSE
1,SUPERNOVA,DarkSide,Экстремальный холодок: чистый сильный ледяной аромат без яркого вкуса,#8BC34A,FALSE
1,SWEET COMET,DarkSide,Клюква и банан: сладко-кислый клюквенный банановый десерт,#B71C1C,FALSE
1,TOP GUM,DarkSide,Жвачка со вкусом клубники и арбуза с лёгким послевкусием дыни,#FF4F79,FALSE
1,TORPEDO,DarkSide,"Арбуз+дыня, классический микс арбуза и дыни",#66BB6A,FALSE
1,TROPIC RAY,DarkSide,"Тропический фруктовый микс (манго, ананас, другие тропики)",#FFC107,FALSE
1,VIRGIN MELON,DarkSide,Сладкая спелая дыня,#DCE775,FALSE
